donor_id,name,total_donated,avg_donation_size,donation_count,campaign_count,health_screening_count,cluster_label
002ee4ed-6085-4969-9cf0-0776607ee397,Patricia Lynch,8253,393.0,21,4,3,2
003c374e-1358-471e-8f22-8a59276a0747,Joshua Gonzalez,11559,481.625,24,2,1,0
004f1a5a-796e-4d24-92f5-663c0c7fb445,Scott Mitchell,7299,486.6,15,2,3,2
00684172-e806-46da-9c17-eb839869ecc8,Phillip Ortiz,8540,474.44444444444446,18,1,2,2
006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Megan Mcgee,7359,432.88235294117646,17,2,1,0
0093fcb3-b524-416f-b6fe-b8cae32d411a,Michael Sherman,12001,444.4814814814815,27,1,1,0
00b2744b-14d6-43a5-885d-232b3e4b7b0a,Andrea Moran,12671,550.9130434782609,23,2,3,1
00cba771-fb33-4590-a41e-b4140ec0c527,Edward Knight,15804,478.9090909090909,33,4,2,1
00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Felicia Cooke,10507,525.35,20,4,3,2
00dfd0dd-b64f-42df-bf25-4eec7f829f6b,Jennifer Tucker,14168,472.26666666666665,30,5,3,1
0106a48c-dfb3-4b1c-baff-563f33269393,Joseph Wright,8795,462.89473684210526,19,1,1,0
010c1b43-81e6-4cdc-8d78-a65acef426f5,Frank Riley,7052,470.1333333333333,15,5,3,2
010ccfd4-e940-4f1f-adb3-91f7d5f0bc27,Cindy Zimmerman,10346,449.82608695652175,23,1,1,0
01170fce-33a9-44c3-8990-1891c89b08ab,Kelly Martinez,1106,368.6666666666667,3,4,3,3
015c2ed2-b249-4da9-bb78-c24bc01bfda8,Maurice Hunt,8055,473.8235294117647,17,2,1,0
01642303-43b9-4565-b1ea-cff93eb2b335,Michael Aguilar,13521,450.7,30,3,2,1
0178e78b-ca2b-4c1d-8478-c54d654da361,Peter Esparza,14925,481.4516129032258,31,2,3,1
017aecc1-ec5b-44dc-a629-b78f64de6e68,Chase Wagner,8995,499.72222222222223,18,5,2,0
017dafb9-2614-4e69-a87d-4444a55e83c9,Dwayne Rose,16127,503.96875,32,2,2,1
0199ebd2-5287-4cec-9f95-e93b7305a7a4,Sandra Morris,18101,532.3823529411765,34,3,1,1
019b7753-5b69-42be-9b68-9d11394df183,Christine Gray,10833,451.375,24,5,1,0
01d00b8f-8335-498e-9eba-5d8294235b03,Martin Collins,10861,493.6818181818182,22,1,2,0
01e97589-44e7-44d2-83ec-f215c6058414,William Kane,7807,487.9375,16,3,3,2
020e7cbc-2b2a-455f-8bfa-fa9e7156bc41,Sandra King,10121,532.6842105263158,19,4,3,2
0213e574-1095-49cc-9c3d-388db5cce7f9,Brandon Rose,6888,459.2,15,5,3,2
022cf4b6-2aff-494c-af73-bd4bf94f8475,Deborah Wood,487,243.5,2,5,1,3
024e3509-a54b-49b7-a351-3dc54163aa52,Joseph Gallegos,14708,459.625,32,1,3,1
02566141-6b8b-431a-be96-232fc318b69b,Ashley Sanders,8015,471.4705882352941,17,5,1,0
0278342a-c105-42f1-a1a0-bae8531734c8,Ryan Miller,6477,431.8,15,1,3,2
02ab02f6-2bac-4a0d-bdc2-f84b166e3154,Debra Ho,7379,491.9333333333333,15,2,3,2
02ab2c2c-de2d-43e0-9171-0a096c632b21,Dakota Martinez,7682,512.1333333333333,15,5,1,0
032be5bb-852d-4ace-a3b4-ec7e72c75126,John Rogers,12672,436.9655172413793,29,2,1,1
0345bcfa-cc1d-4786-8c26-d52992b03849,Diana Kelly,12435,518.125,24,2,3,1
037be562-0921-4828-a51c-e788ce5e37ff,Samuel Lewis,7137,419.8235294117647,17,5,3,2
04346619-f18e-42eb-9374-d60fc94bf18d,Heather Scott,13592,503.4074074074074,27,4,1,1
044b5b1b-62da-4416-aafe-25ea04e084d8,Sarah Hopkins,16981,499.4411764705882,34,2,1,1
045eb9b0-29b3-4ba5-988a-6b04237c9875,Jerry Reid,10647,425.88,25,4,2,2
04765b66-2a12-4483-961c-b68158b78604,Anthony Vaughan,14766,434.2941176470589,34,5,3,1
048326c0-b939-471c-9a6f-f80369497a2b,Courtney Potter,7999,399.95,20,4,3,2
0493bf09-1fff-465f-b3bc-e9733a8c0fad,Nicholas Wilson,13105,436.8333333333333,30,5,3,1
0496be7b-16fc-4c98-b744-4158eab6da46,Jennifer Friedman,9378,586.125,16,4,3,0
04a78df8-917b-43af-af73-e76f78a0fb2e,Kimberly Smith,1018,509.0,2,5,2,3
05177781-6211-404b-ba5a-be47c96484eb,Lisa Ramirez,7134,445.875,16,1,1,0
0526a2c4-523c-4576-82d6-8390bb4195b0,Amy Jordan,11433,423.44444444444446,27,5,2,2
052a6deb-e5e3-4548-a7e6-3d9b82add0c7,Michael Cuevas,11486,574.3,20,3,1,0
05620726-05e5-446e-b6f7-2ab3ba04c8af,Ashley Krueger,15180,489.6774193548387,31,4,1,1
05772823-69a7-45c9-bd3a-beca07d3a481,Megan Kramer,14766,509.1724137931034,29,1,2,1
05c72f13-f2ff-4d01-b68b-eb1dd3ac7468,Ashlee Gordon,8112,450.6666666666667,18,1,2,2
05d13956-e1a5-4ff8-9204-2af2f626d2e7,Monica Lynch,14795,462.34375,32,1,2,1
05f4a56f-911e-452e-a64d-bfffa0051e2c,Chad Beck,15589,445.4,35,4,2,1
06071549-207d-45e2-8da3-8465615dcc08,Matthew Smith,13505,435.64516129032256,31,1,1,1
0609ae86-5c1f-41fd-acb5-2ddcd9efd0e1,Thomas Cole,13489,421.53125,32,3,3,1
060bd9f8-b730-4977-806d-03e1dfe5cd42,Jenny Perry,9680,537.7777777777778,18,1,1,0
0611d350-4243-461b-ae77-857e2cf5e39e,Julia Miller,7057,470.4666666666666,15,1,3,2
0641295b-ce22-4d25-bd22-235a9c19808a,Joshua Aguilar,13936,449.5483870967742,31,1,2,1
065c5194-b678-44dd-9df6-29101fa5d57b,Beth Castro,10329,469.5,22,5,3,2
067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Christopher Padilla,16232,523.6129032258065,31,1,3,1
068815af-4e70-447a-b267-8fb55972f649,Katherine Jones,8009,500.5625,16,2,1,0
069081fa-e46f-47b7-aa16-619ad3671862,Daniel Mcintyre,10820,432.8,25,5,2,2
